"Statistic Label","Year","Gross Vehicle Weight","Fuel Type","Type of Carriage","Licensing Authority","UNIT","VALUE"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Westmeath","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Co. Wexford","Number","2"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Hire or reward","Ireland","Number","220"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Clare","Number","9"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Cork","Number","201"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Cavan","Number","18"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Carlow","Number","7"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Donegal","Number","13"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Dublin","Number","2041"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Galway","Number","38"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Kildare","Number","36"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Kilkenny","Number","15"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Kerry","Number","12"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Longford","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Louth","Number","17"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Limerick","Number","33"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Leitrim","Number","4"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Laois","Number","8"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Meath","Number","10"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Monaghan","Number","3"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Mayo","Number","10"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Offaly","Number","10"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Roscommon","Number","5"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Sligo","Number","6"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Tipperary","Number","12"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Waterford","Number","30"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Wicklow","Number","16"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Westmeath","Number","24"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Co. Wexford","Number","23"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Own account","Ireland","Number","2601"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Clare","Number","6"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Cork","Number","47"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Cavan","Number","10"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Carlow","Number","6"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Donegal","Number","5"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Dublin","Number","176"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Galway","Number","59"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Kildare","Number","110"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Kilkenny","Number","7"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Kerry","Number","4"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Longford","Number","5"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Louth","Number","15"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Limerick","Number","10"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Leitrim","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Laois","Number","7"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Meath","Number","22"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Monaghan","Number","6"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Mayo","Number","7"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Offaly","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Roscommon","Number","3"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Sligo","Number","2"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Tipperary","Number","15"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Waterford","Number","3"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Wicklow","Number","110"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Westmeath","Number","17"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Co. Wexford","Number","21"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Main use (own account and hire or reward)","Ireland","Number","675"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Clare","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Cork","Number","3"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Cavan","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Carlow","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Donegal","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Dublin","Number","6"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Galway","Number","2"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Kildare","Number","3"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Kilkenny","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Kerry","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Longford","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Louth","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Limerick","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Leitrim","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Laois","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Meath","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Monaghan","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Mayo","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Offaly","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Roscommon","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Sligo","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Tipperary","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Waterford","Number","0"
